Date,portfolio
2014-01-02,565.2938778996468
2014-01-03,564.7887516617775
2014-01-06,566.6224475800991
2014-01-07,574.6182821691036
2014-01-08,576.0779138803482
2014-01-09,576.8942052423954
2014-01-10,577.2912413775921
2014-01-13,568.7819833159447
2014-01-14,574.1813206672668
2014-01-15,577.5014756917953
2014-01-16,576.5456573665142
2014-01-17,577.5191783308983
2014-01-21,580.295614272356
2014-01-22,582.2121272981167
2014-01-23,576.3137272894382
2014-01-24,560.7712030112743
2014-01-27,557.3673990368843
2014-01-28,559.8011411726475
2014-01-29,548.3971901535988
2014-01-30,556.9204424917698
2014-01-31,553.0439820587635
2014-02-03,542.3535655736923
2014-02-04,543.6035973727703
2014-02-05,542.7200655341148
2014-02-06,549.1384682059288
2014-02-07,561.1469698548317
2014-02-10,563.3564573824406
2014-02-11,571.372413277626
2014-02-12,571.7808123230934
2014-02-13,578.7733599245548
2014-02-14,580.6980080604553
2014-02-18,582.5408762693405
2014-02-19,579.1888329982758
2014-02-20,582.798750191927
2014-02-21,578.7743926346302
2014-02-24,585.1989348232746
2014-02-25,580.1609006524086
2014-02-26,578.1817998588085
2014-02-27,581.9569844007492
2014-02-28,583.3771232366562
2014-03-03,578.7522563040257
2014-03-04,588.5973142981529
2014-03-05,589.7647114992142
2014-03-06,589.1252459287643
2014-03-07,586.3848637640476
2014-03-10,588.9474971592426
2014-03-11,584.7638126909733
2014-03-12,585.6484397053719
2014-03-13,574.8514225184917
2014-03-14,571.6729245483875
2014-03-17,579.1541631519794
2014-03-18,582.9921672940254
2014-03-19,577.3058134317398
2014-03-20,580.6590485870838
2014-03-21,575.6811431348324
2014-03-24,572.7975835502148
2014-03-25,578.2904729545116
2014-03-26,569.3327113091946
2014-03-27,569.2854415178299
2014-03-28,569.2668076455593
2014-03-31,575.3920435607433
2014-04-01,586.1899290680885
2014-04-02,585.3044382333755
2014-04-03,580.9187265336514
2014-04-04,569.1818634271622
2014-04-07,565.8105725347996
2014-04-08,565.5078790783882
2014-04-09,578.4253132641315
2014-04-10,562.1596974134445
2014-04-11,555.9433154463768
2014-04-14,562.2566395401955
2014-04-15,565.054371803999
2014-04-16,569.3887110948563
2014-04-17,567.1708513498306
2014-04-21,574.3186385333538
2014-04-22,578.8729238212109
2014-04-23,574.998699516058
2014-04-24,575.1963761150837
2014-04-25,567.1793189942837
2014-04-28,566.4944682717323
2014-04-29,573.1757752001286
2014-04-30,577.1984393298626
2014-05-01,576.3444953262806
2014-05-02,575.5582878887653
2014-05-05,579.2659405171871
2014-05-06,572.7524322271347
2014-05-07,574.0509232580662
2014-05-08,573.1192470788956
2014-05-09,575.2182404398918
2014-05-12,582.6867300570011
2014-05-13,582.6284056007862
2014-05-14,578.7776729762554
2014-05-15,570.7593431174755
2014-05-16,572.7039889395237
2014-05-19,576.3456977307796
2014-05-20,571.0732571184635
2014-05-21,577.770599514246
2014-05-22,579.2666080892086
2014-05-23,581.4495603442192
2014-05-27,589.0796595513821
2014-05-28,588.3853448629379
2014-05-29,590.9287828207016
2014-05-30,591.2708820998669
2014-06-02,593.0399990677834
2014-06-03,592.9434886574745
2014-06-04,595.205885052681
2014-06-05,597.4703277349472
2014-06-06,601.3494544327259
2014-06-09,600.4105859100819
2014-06-10,602.7268135845661
2014-06-11,598.998249411583
2014-06-12,594.3170811235905
2014-06-13,596.9974882006645
2014-06-16,597.7439823746681
2014-06-17,598.317536175251
2014-06-18,602.6658123731613
2014-06-19,600.840738505125
2014-06-20,601.9332954287529
2014-06-23,600.3212748765945
2014-06-24,598.4356293678284
2014-06-25,598.9937935173512
2014-06-26,598.4485611319542
2014-06-27,600.356999874115
2014-06-30,600.0964134633541
2014-07-01,608.0828855633736
2014-07-02,607.9010942578316
2014-07-03,610.5928466320038
2014-07-07,606.6976411938667
2014-07-08,600.6184906363487
2014-07-09,603.8226687312126
2014-07-10,602.3098343014717
2014-07-11,605.7838745415211
2014-07-14,610.6870233118534
