Date,AAPL,WMT,IBM,MU,BA,AXP,NVDA,AMGN,F,BP,META,AMD,INTC
2014-01-02,17.253257751464844,21.05429458618164,113.39099884033203,21.254304885864258,116.80794525146484,76.6072006225586,0.37399202585220337,86.10324096679688,9.041165351867676,25.7329158782959,54.54576873779297,3.950000047683716,19.17879295349121
2014-01-03,16.874265670776367,20.98491859436035,114.06938934326172,20.577228546142578,117.61988830566406,76.85558319091797,0.3695116639137268,85.11430358886719,9.082158088684082,25.673927307128906,54.39622116088867,4.0,19.171356201171875
2014-01-06,16.96629524230957,20.86752700805664,113.67822265625,20.282848358154297,118.2950668334961,76.82133483886719,0.37446364760398865,84.37821197509766,9.123148918151855,25.743648529052734,57.02829360961914,4.130000114440918,18.933385848999023
2014-01-07,16.844953536987305,20.93155288696289,115.94566345214844,21.322994232177734,120.08985900878906,76.5301284790039,0.3805945813655853,86.57167053222656,9.006032943725586,26.03863525390625,57.746131896972656,4.179999828338623,19.030065536499023
2014-01-08,16.951631546020508,20.76613426208496,114.8822250366211,23.422914505004883,120.35482788085938,76.77054595947266,0.3857823610305786,86.16268920898438,9.099724769592285,26.13516616821289,58.055198669433594,4.179999828338623,18.911073684692383
2014-01-09,16.735157012939453,20.835506439208984,114.52163696289062,22.80471420288086,121.47447204589844,76.31549835205078,0.37139812111854553,88.40082550048828,9.275395393371582,26.199522018432617,57.04823684692383,4.090000152587891,18.821842193603516
2014-01-10,16.623489379882812,20.822166442871094,114.4482650756836,23.26590919494629,121.27787780761719,76.0321273803711,0.3709265887737274,87.73164367675781,9.410076141357422,26.387243270874023,57.766075134277344,4.170000076293945,18.985441207885742
2014-01-13,16.710521697998047,20.675426483154297,112.55363464355469,22.89302635192871,120.25224304199219,74.69264221191406,0.36220163106918335,86.54938507080078,9.43349838256836,25.824100494384766,55.74216842651367,4.130000114440918,18.963134765625
2014-01-14,17.043027877807617,20.800817489624023,113.62933349609375,23.22665786743164,119.6625747680664,74.80427551269531,0.3735203742980957,87.53089904785156,9.603314399719238,25.925994873046875,57.56667709350586,4.300000190734863,19.7142276763916
2014-01-15,17.385202407836914,20.720773696899414,114.74164581298828,22.89302635192871,120.18389892578125,75.77456665039062,0.3775290250778198,88.11827087402344,9.778983116149902,25.797277450561523,57.427093505859375,4.46999979019165,19.833208084106445
2014-01-16,17.288188934326172,20.480636596679688,115.3651123046875,22.6967716217041,119.83352661132812,75.37098693847656,0.3787080943584442,88.50493621826172,9.796550750732422,25.69537353515625,57.01832580566406,4.380000114440918,19.736539840698242
2014-01-17,16.86460304260254,20.328556060791016,116.17793273925781,21.960819244384766,120.04717254638672,78.11000061035156,0.3770574927330017,88.59413146972656,9.67358112335205,25.850914001464844,56.13099670410156,4.179999828338623,19.223413467407227
2014-01-21,17.12662124633789,20.235177993774414,115.16337585449219,22.68696403503418,121.08129119873047,77.7837142944336,0.37847235798835754,88.66850280761719,9.609169960021973,26.02790069580078,58.33435821533203,4.170000076293945,19.030065536499023
2014-01-22,17.202733993530273,20.104434967041016,111.38633728027344,23.207035064697266,123.38892364501953,78.24739837646484,0.37800082564353943,92.4754867553711,9.691147804260254,26.301422119140625,57.337364196777344,3.6700000762939453,18.821842193603516
2014-01-23,17.348388671875,20.000375747680664,111.67967987060547,23.197223663330078,120.77363586425781,76.56449127197266,0.37658587098121643,91.90294647216797,9.620881080627441,26.08153533935547,56.46000289916992,3.619999885559082,18.68798065185547
2014-01-24,17.033042907714844,19.856300354003906,109.7911605834961,22.490707397460938,116.79084777832031,74.6583023071289,0.36691781878471375,88.69825744628906,9.26954174041748,25.609561920166016,54.28654861450195,3.4700000286102295,18.450014114379883
2014-01-27,17.171220779418945,19.784259796142578,108.7276840209961,22.471080780029297,117.39767456054688,73.6021957397461,0.36455971002578735,88.12571716308594,9.199273109436035,25.341402053833008,53.38924789428711,3.4100000858306885,18.38308334350586
2014-01-28,15.79877758026123,19.92300033569336,108.08601379394531,22.618268966674805,117.16690063476562,74.39212799072266,0.3680967390537262,89.74664306640625,9.205127716064453,25.46476173400879,54.97447967529297,3.5399999618530273,18.516942977905273
2014-01-29,15.619418144226074,19.770919799804688,107.81096649169922,22.284635543823242,110.91925811767578,73.45622253417969,0.36455971002578735,88.60903930664062,9.007390975952148,25.352134704589844,53.36930847167969,3.4800000190734863,18.353336334228516
2014-01-30,15.589160919189453,19.94434928894043,108.39768981933594,23.010780334472656,108.14157104492188,74.37496948242188,0.3706907331943512,89.88792419433594,9.001489639282227,25.427209854125977,60.89664840698242,3.4800000190734863,18.397958755493164
2014-01-31,15.614744186401367,19.925668716430664,107.98210144042969,22.608461380004883,107.05615997314453,73.00115203857422,0.37021902203559875,88.4454345703125,8.830310821533203,25.148324966430664,62.38217544555664,3.430000066757202,18.249229431152344
2014-02-03,15.643742561340332,19.386701583862305,105.67185974121094,22.382766723632812,105.19295501708984,71.1464614868164,0.36526715755462646,86.80960083007812,8.588303565979004,24.729990005493164,61.29544448852539,3.3299999237060547,17.81047248840332
2014-02-04,15.870206832885742,19.40538215637207,105.63516998291016,22.5692081451416,104.3041000366211,72.1253433227539,0.36738941073417664,86.08837127685547,8.777188301086426,24.81580352783203,62.5616340637207,3.369999885559082,17.71380043029785
2014-02-05,15.98873233795166,19.442739486694336,106.49080657958984,22.873401641845703,103.75709533691406,71.88492584228516,0.3640879988670349,85.56046295166016,8.694551467895508,24.69244956970215,62.00331497192383,3.309999942779541,17.65749740600586
